id,spkid,full_name,pdes,name,neo,pha,diameter,prefix,q,per,class
dJ47K010,1001060,C/1947K1Bester,1947 K1,Bester,,,,C,1.403046224888987,,PAR
dJ47O010,1001061,C/1947O1Wirtanen,1947 O1,Wirtanen,,,,C,2.827968,,HYP
dJ47S010,1001062,C/1947S1Bester,1947 S1,Bester,,,,C,0.7481291030478969,,HYP
dJ47V010,1001063,C/1947V1Honda,1947 V1,Honda,,,,C,0.7530899999999995,,PAR
dJ47X01a,1001064,C/1947X1ASoutherncomet,1947 X1-A,Southern comet,,,,C,0.1100321113010876,1388333.942676335,COM
dJ47X01b,1001065,C/1947X1BSoutherncomet,1947 X1-B,Southern comet,,,,C,0.110023,,COM
dJ47Y010,1001066,C/1947Y1Mrkos,1947 Y1,Mrkos,,,,C,1.499557,,HYP
dJ48E010,1001067,C/1948E1PajdusakovaMrkos,1948 E1,Pajdusakova-Mrkos,,,,C,2.107056,,HYP
dJ48L010,1001068,C/1948L1HondaBernasconi,1948 L1,Honda-Bernasconi,,,,C,0.207628,,COM
dJ48N010,1001069,C/1948N1Wirtanen,1948 N1,Wirtanen,,,,C,2.517207,,COM
dJ48R010,1001070,C/1948R1Johnson,1948 R1,Johnson,,,,C,4.70838,,PAR
dJ48T010,1001071,C/1948T1Wirtanen,1948 T1,Wirtanen,,,,C,3.261102,,HYP
dJ48V010,1001072,C/1948V1Eclipsecomet,1948 V1,Eclipse comet,,,,C,0.135421,,COM
dJ48W010,1001073,C/1948W1Bester,1948 W1,Bester,,,,C,1.273428,,COM
dJ49K010,1001074,C/1949K1Johnson,1949 K1,Johnson,,,,C,2.5532310000000003,,HYP
dJ49N010,1001075,C/1949N1BappuBokNewkirk,1949 N1,Bappu-Bok-Newkirk,,,,C,2.058177,,COM
dJ50K010,1001076,C/1950K1Minkowski,1950 K1,Minkowski,,,,C,2.572335,,HYP
dJ51C010,1001077,C/1951C1Pajdusakova,1951 C1,Pajdusakova,,,,C,0.719063,,PAR
dJ51P010,1001078,C/1951P1WilsonHarrington,1951 P1,Wilson-Harrington,,,,C,0.7404270000000001,,COM
dJ52B010,1000482,D/1952B1HarringtonWilson,1952 B1,Harrington-Wilson,,,,D,1.6649066690276608,2318.287965561212,JFc
dJ52H010,1001079,C/1952H1Mrkos,1952 H1,Mrkos,,,,C,1.2826959999999998,235586.25,COM
dJ52M010,1001080,C/1952M1Peltier,1952 M1,Peltier,,,,C,1.201925,,COM
