L13a   Lacerda, P., A. McNeill, and N. Peixinho, 2013, The unusual Kuiper belt object 2003 SQ317, Mon. Not. Royal Astron. Soc., 437:3824-3831.                                                                                                                                                                                                                                   
L13b   Lellouch, E., et al., 2013, "TNOs are cool": A survey of the trans-Neptunian region IX. Thermal properties of Kuiper belt objects and Centaurs from combined Herschel and Spitzer observations, Astron. & Astrophys., 557:A60.                                                                                                                                            
L14a   Lockwood, A. C., M. E. Brown, and J. Stansberry, 2014, The size and shape of the oblong dwarf planet Haumea, Earth Moon Planets, 111:127-137.                                                                                                                                                                                                                             
L15a   Lellouch, E., C. de Bergh, B. Sicardy, F. Forget, M. Vangvichith, and H.-U. Kaufl, 2015, Exploring the spatial, temporal, and vertical distribution of methane in Pluto's atmosphere, Icarus, 246:268-278.                                                                                                                                                                
L16a   Licandro, J., V. Ali-Lagoa, G. Tancredi, and Y. Fernandez, 2016, Size and albedo distributions of asteroids in cometary orbits using WISE data, Astron. & Astrophys., 585:A9.                                                                                                                                                                                             
L17a   Lellouch, E., et al., 2017, The thermal emission of Centaurs and trans-Neptunian objects at millimeter wavelengths from ALMA observations, Astron. & Astrophys., 608:A45.                                                                                                                                                                                                 
L84a   Lebofsky, L. A., D. J. Tholen, G. H. Rieke, and M. J. Lebofsky, 1984, 2060 Chiron:  Visual and thermal infrared observations, Icarus, 60:532-537.                                                                                                                                                                                                                         
M02a   Margot, J. L., C. Trujillo, M. E. Brown, and F. Bertoldi, 2002, The size and albedo of KBO 2002 AW197, BAAS, 34:871.                                                                                                                                                                                                                                                      
M04a   Margot, J. L., M. E. Brown, C. A. Trujillo, and R. Sari, 2004, HST observations of Kuiper belt binaries, BAAS, 36:1081.                                                                                                                                                                                                                                                   
M10a   Maury, A., 2010, Occultation by (136199) Eris, IAUC 9185.                                                                                                                                                                                                                                                                                                                 
M10b   Muller, T. G., et al., 2010, "TNOs are cool":  A survey of the trans-Neptunian region I. Results from the Herschel science demonstration phase (SDP), Astron. & Astrophys., 518:L146.                                                                                                                                                                                     
M12a   Mommert, M., et al., 2012, TNOs are cool:  A survey of the trans-Neptunian region. V. Physical characterization of 18 Plutinos using Herschel PACS observations, Astron. & Astrophys., 541:A93.                                                                                                                                                                           
M13a   Mommert, M., 2013, Remnant planetesimals and their collisional fragments:  Physical characterization from thermal-infrared observations, Ph.D. dissertation, Freie Universitat Berlin, Berlin, Germany.                                                                                                                                                                   
M93a   Millis, R. L., et al., 1993, Pluto's radius and atmosphere:  Results from the entire 9 June 1988 occultation data set, Icarus, 105:282-297.                                                                                                                                                                                                                               
N04a   Noll, K. S., D. C. Stephens, W. M. Grundy, and I. Griffin, 2004, The orbit, mass, and albedo of transneptunian binary (66652) 1999 RZ253, Icarus, 172:402-407.                                                                                                                                                                                                            
N04b   Noll, K. S., D. C. Stephens, W. M. Grundy, D. J. Osip, and I. Griffin, 2004, The orbit and albedo of trans-Neptunian binary (58534) 1997 CQ29, Astron. J., 128:2547-2552.                                                                                                                                                                                                 
